id,focus,signal,slack,drag,confidence,score,lane,kind,invariant
g001,packet span,69,18,7,20,242,ship,baseline,monotonic-signal
g002,retry pressure,100,53,29,72,391,ship,edge,drag-penalty
g003,route drift,75,38,21,67,305,ship,recovery,confidence-floor
g004,socket risk,110,68,39,104,453,ship,negative,lane-boundary
g005,packet span,43,15,29,41,113,hold,baseline,monotonic-signal
g006,retry pressure,57,26,4,100,311,ship,edge,drag-penalty
g007,route drift,68,69,14,91,391,ship,recovery,confidence-floor
g008,socket risk,77,23,42,91,242,ship,negative,lane-boundary
g009,packet span,85,73,36,96,389,ship,baseline,monotonic-signal
g010,retry pressure,92,65,35,103,404,ship,edge,drag-penalty
g011,route drift,55,29,15,25,203,ship,recovery,confidence-floor
g012,socket risk,40,48,6,76,274,ship,negative,lane-boundary
g013,packet span,36,60,27,63,210,ship,baseline,monotonic-signal
g014,retry pressure,38,34,36,104,178,ship,edge,drag-penalty
g015,route drift,86,58,21,86,397,ship,recovery,confidence-floor
g016,socket risk,114,73,36,82,462,ship,negative,lane-boundary
g017,packet span,43,13,45,84,104,hold,baseline,monotonic-signal
g018,retry pressure,55,20,9,90,268,ship,edge,drag-penalty
g019,route drift,109,61,14,97,504,ship,recovery,confidence-floor
g020,socket risk,95,49,39,105,371,ship,negative,lane-boundary
g021,packet span,48,46,11,71,274,ship,baseline,monotonic-signal
g022,retry pressure,72,12,40,66,186,ship,edge,drag-penalty
g023,route drift,43,32,35,103,191,ship,recovery,confidence-floor
g024,socket risk,32,45,34,40,124,hold,negative,lane-boundary
g025,packet span,74,59,14,99,397,ship,baseline,monotonic-signal
g026,retry pressure,55,28,6,90,293,ship,edge,drag-penalty
g027,route drift,93,15,24,90,327,ship,recovery,confidence-floor
g028,socket risk,71,46,14,95,358,ship,negative,lane-boundary
g029,packet span,64,29,31,102,259,ship,baseline,monotonic-signal
g030,retry pressure,64,23,41,24,139,watch,edge,drag-penalty
g031,route drift,111,58,27,75,443,ship,recovery,confidence-floor
g032,socket risk,110,43,21,62,415,ship,negative,lane-boundary
g033,packet span,53,73,20,103,348,ship,baseline,monotonic-signal
g034,retry pressure,116,20,42,85,347,ship,edge,drag-penalty
g035,route drift,63,31,33,81,233,ship,recovery,confidence-floor
g036,socket risk,84,74,12,83,447,ship,negative,lane-boundary
g037,packet span,98,28,21,89,376,ship,baseline,monotonic-signal
g038,retry pressure,109,8,6,96,421,ship,edge,drag-penalty
g039,route drift,30,70,21,104,271,ship,recovery,confidence-floor
g040,socket risk,38,34,30,70,162,ship,negative,lane-boundary
g041,packet span,45,53,36,65,198,ship,baseline,monotonic-signal
g042,retry pressure,96,65,41,102,397,ship,edge,drag-penalty
g043,route drift,81,39,24,39,288,ship,recovery,confidence-floor
g044,socket risk,77,63,38,98,341,ship,negative,lane-boundary
g045,packet span,79,8,25,89,267,ship,baseline,monotonic-signal
g046,retry pressure,39,18,20,89,182,ship,edge,drag-penalty
g047,route drift,67,25,19,94,288,ship,recovery,confidence-floor
g048,socket risk,84,66,41,101,362,ship,negative,lane-boundary
g049,packet span,96,54,33,23,320,ship,baseline,monotonic-signal
g050,retry pressure,62,51,9,74,335,ship,edge,drag-penalty
g051,route drift,48,17,41,61,116,hold,recovery,confidence-floor
g052,socket risk,89,37,16,102,395,ship,negative,lane-boundary
g053,packet span,113,50,26,84,445,ship,baseline,monotonic-signal
g054,retry pressure,84,64,12,80,424,ship,edge,drag-penalty
g055,route drift,73,33,6,82,349,ship,recovery,confidence-floor
g056,socket risk,115,20,5,88,458,ship,negative,lane-boundary
g057,packet span,96,51,27,95,404,ship,baseline,monotonic-signal
g058,retry pressure,46,34,18,103,255,ship,edge,drag-penalty
g059,route drift,112,28,39,69,344,ship,recovery,confidence-floor
g060,socket risk,105,63,6,64,487,ship,negative,lane-boundary
g061,packet span,105,48,33,101,413,ship,baseline,monotonic-signal
g062,retry pressure,64,8,6,38,228,ship,edge,drag-penalty
g063,route drift,63,25,15,97,291,ship,recovery,confidence-floor
g064,socket risk,94,36,21,88,379,ship,negative,lane-boundary
g065,packet span,69,9,26,88,235,ship,baseline,monotonic-signal
g066,retry pressure,104,33,9,93,444,ship,edge,drag-penalty
g067,route drift,37,13,23,100,168,ship,recovery,confidence-floor
g068,socket risk,51,75,10,22,295,ship,negative,lane-boundary
g069,packet span,62,39,5,73,322,ship,baseline,monotonic-signal
g070,retry pressure,71,58,4,60,377,ship,edge,drag-penalty
g071,route drift,79,70,26,101,400,ship,recovery,confidence-floor
g072,socket risk,86,44,18,83,375,ship,negative,lane-boundary
g073,packet span,49,68,36,79,254,ship,baseline,monotonic-signal
g074,retry pressure,34,13,26,81,131,watch,edge,drag-penalty
g075,route drift,30,23,43,87,94,hold,recovery,confidence-floor
g076,socket risk,32,30,11,94,217,ship,negative,lane-boundary
g077,packet span,80,71,39,102,367,ship,baseline,monotonic-signal
g078,retry pressure,108,59,33,68,411,ship,edge,drag-penalty
g079,route drift,37,56,32,63,190,ship,recovery,confidence-floor
g080,socket risk,49,22,12,100,255,ship,negative,lane-boundary
g081,packet span,103,42,45,37,295,ship,baseline,monotonic-signal
g082,retry pressure,89,55,24,96,401,ship,edge,drag-penalty
g083,route drift,42,69,33,87,252,ship,recovery,confidence-floor
g084,socket risk,66,38,18,87,307,ship,negative,lane-boundary
g085,packet span,37,25,33,92,154,watch,baseline,monotonic-signal
g086,retry pressure,114,56,42,99,427,ship,edge,drag-penalty
g087,route drift,68,39,6,21,285,ship,recovery,confidence-floor
g088,socket risk,49,33,11,72,252,ship,negative,lane-boundary
g089,packet span,87,68,36,59,348,ship,baseline,monotonic-signal
g090,retry pressure,65,53,8,100,377,ship,edge,drag-penalty
g091,route drift,58,13,37,82,171,ship,recovery,confidence-floor
g092,socket risk,58,30,32,78,216,ship,negative,lane-boundary
g093,packet span,105,41,31,80,384,ship,baseline,monotonic-signal
g094,retry pressure,104,14,11,86,393,ship,edge,drag-penalty
g095,route drift,47,38,45,93,175,ship,recovery,confidence-floor
g096,socket risk,110,18,21,101,404,ship,negative,lane-boundary
